,firm,date_review,job_title,current,location,overall_rating,work_life_balance,culture_values,diversity_inclusion,career_opp,comp_benefits,senior_mgmt,recommend,ceo_approv,outlook,headline,pros,cons
730910,Sage,2019-03-12, PMO Manager,"Current Employee, more than 10 years","Dublin, Dublin",4,5.0,4.0,,4.0,4.0,4.0,v,v,v,Great opportunities and work life balance,"* Great work life balance encouraged from the top down
* Excellent progression, promotion and secondment opportunities
* Good compensation structure
* Clearly defined career framework
* Good CEO and focused on the right things
* Commitment to Corporate and Social Responsibility through ""Sage Foundation""",* Big changes and decision making is sometimes stifled due to the size of the organisation.
47922,Apple,2021-04-14, College Program,"Current Employee, more than 1 year","Cupertino, CA",5,5.0,5.0,5.0,3.0,5.0,5.0,v,v,v,great place to work,consistent schedule while working here,customer service calls can be draining
231391,Doubletree-By-Hilton,2021-03-14, Night Auditor/Front Desk Agent,"Former Employee, less than 1 year","Collinsville, IL",5,4.0,3.0,4.0,4.0,2.0,4.0,v,v,r,Fantastic job!,"Treat their employees well, great benefits","long hours alone, and not very flexible"
327780,Her-Majesty-s-Revenue-and-Customs,2020-09-03, Anonymous Employee,"Current Employee, more than 10 years",,4,,,,,,,v,v,o,Good IT kit allowing remote working,Flexible working and good team work,No pay rise for 10 years
772895,The-Salvation-Army,2018-08-31, Support Specialist,"Current Employee, more than 8 years","Whitechapel, England, England",5,4.0,4.0,,4.0,3.0,3.0,v,o,o,Specialist support,Supporting adults with complex needs such as mental health and substance abuse.,There is a real issue with the cut back of specialist services and housing options.
202026,Deloitte,2020-06-01, Consultant,"Former Employee, more than 5 years","Chicago, IL",1,1.0,1.0,,3.0,3.0,1.0,x,x,x,Worst of the Big 4,"The colleagues you meet and work with at the beginning of your career are great. Deloitte Patners do like to splurge on expensive dinners, cocktail hours, etc. so if you grab onto one them you do get some nice meals and expensive cocktails — all expenses to a client. The Partners know how to spend money!","You are just a profit margin, you are over-worked with high charge hour goals, Partners see you as a number - your HPP (hours per person) and utilization %."
580517,Microsoft,2018-09-20, Solutions Architect,"Current Employee, more than 10 years","Redmond, WA",5,5.0,5.0,,3.0,5.0,3.0,v,v,v,Love the company,"Lot of great projects to work on, great life-balance, especially compared to the competition, perks and prestige galore.","Only true geeks can really love the place - not really a con for me. Also it hasn't grown much in a decade so opportunities for promotions are really rather limited. Young ones and diversity candidates are definitely favored there - but regardless even if you are young and ""diverse"" and you really want to get to the top you will have a much better chance at a smaller fast growing company."
383980,IBM,2019-08-21, Software Engineer,"Current Employee, less than 1 year",Istanbul,2,4.0,3.0,,2.0,2.0,2.0,x,r,x,Missleading Job Title,"learning portal, flexible working hours.",your opinion does not matter at all
207932,Deloitte,2020-12-04, Senior Consultant,"Current Employee, more than 3 years",Hyderābād,4,,,,,,,o,o,o,Deloitte Consulting,Nice work culture and opportunities,Initiatives are expected as differentiating factor
173101,Deloitte,2011-08-14, Consultant,Former Employee,"Philadelphia, PA",4,4.0,,,4.0,3.0,4.0,v,v,o,Challenging,"Deloitte remains the best place to launch and build a career. Amazing set of professionals and a contributive, non-heirarchial work culture.",They are expanding at a rapid pace especially in emerging countries and trying to compete with the mass market. The 'niche' is diminishing.
361130,IBM,2016-05-22, Patent Engineer,"Current Employee, more than 1 year","Rochester, MN",2,4.0,2.0,,2.0,2.0,2.0,x,x,x,OK,Work life balance is alright.,Managers promise promotions to employees in return for the employees to exceed their quota but promotions are then put on hold because budgets are supposedly not figured out. Extremely high lack of transparency.
646974,Oracle,2021-05-26, Principal Consultant,"Former Employee, more than 3 years",Kon Hang,3,1.0,1.0,1.0,1.0,1.0,1.0,x,o,x,,Good Exposure; Good On Job Training,No salary increment; Work-life unbalance
356217,IBM,2015-07-18, Senior Software Developer,"Current Employee, more than 10 years","Regina, SK",4,4.0,3.0,,4.0,3.0,3.0,v,o,r,Senior software developer,Lots of flexibility and choices for working,Hard to move up at certain level technically
353898,IBM,2015-01-28, Partner,"Former Employee, more than 3 years","Pitts, PA",1,1.0,1.0,,1.0,3.0,2.0,x,x,x,Toxic,Some amazing technology and an over abundance of smart employees,"The culiture is GBS is as toxic as it gets.  It is a competitive, soulless, brural place.   To survive there you have to focus only on yourself and nobody else.  Win at all costs.   As a so called Partner which is the over inflated name they give to what are essentially engagement directors with quotas, you will have a sales quota of between 10 and 20m typically, called a signings target.  You will also have a revenue target which requires you to be actively delivering an engagement.   You will also be given a personal utilization target of at least 35% at a bill rate that is quite high and a profit target.   You will be rated based on a formula of how you achieved against those metrics depending on how they are weighing each component that year and that can and does change every year.   If you do not make that number and all elements of your quota, you will be rated a 3 and be fired at the end of the year unless you are lucky enough to be part of the boys club and then they will try to manipulate the numbers enough to make you a 2.  No commissions of any sort are paid and you may not get a bonus if there is no funding in the profit sharing regardless of your rating.  Last year it is was funded at 30%.  

Partners are ranked against each other in their work group and then folded into larger groups.  They are rated on  total dollar volume not percentage of attainment so if you do small deals and somebody sells things that are large deals, they will always be ranked higher.  

There are no real rules for territories.  Anybody can sell on someone else's patch and there is no shared credit. If someone does a deal in your territory and refuses to team with you, tough luck.  And if you are teaming you will have to divide up the deal among all the mouths to feed including the APs.  There is a shortage of qualified deals so people glom on.  There is this team shadow credit but it is a joke and doesn't keep you from being fired   Partners can cut out other partners by bringing in APs that have the domain knowledge.  APs love that.   APs have to do almost all the work on Rfps and there is almost no presales and/or presentation development support.  

There is no good system to forecast resource needs on a deal.  You have to fill out a tedious and outdated excel spreadsheet that is then sent to Costa Rica to be re entered   

Methodology is hit or miss and there is no good knowledge sharing portal for methodology.  What there is is pretty poor and not used.  Many PMs make up stuff as they go along.   There are legions of staff people that have big dog jobs supposedly maintaining and developing methodology and produce nothing of real value.   The reason projects fail is usually due to lack of resources and/or methodolgy.  Just ask customers. 

There is a shortage of consultants in many areas as staffing and hiring is not undertaken until a SOW is signed.  So on many occasions there is no way to execute and ramp up quickly.   Retention is actually fairly good considering unless it is resource action time but there are still staffing issues galore.  

There is no money for team meetings so you never get much chance to meet your colleagues and since you are pitted against them in the rating system that is probably better.    

Teamwork is non existent and nobody bothers to answer emails or calls.  That bad habit is rampant.  Many of the senior people are the worst offenders.  I worked for a woman who would not even make eye contact with me in an elevator once.  It was like I didn't exist.  She was my boss's boss.   She rarely answered any emails I sent and I only sent her things on rare occasions.  One other partner I worked with would never and I mean never answer emails from almost everyone. 

Travel is heavy and the expense policy is typical but frugal.  The expense report system is great and some of the best software they have.  They have big data analytics to monitor every cent.  You have no discretionary budget.  You are not allows to spend money on entertainment unless you are part of the boys club and they trust you to spend to close a deal but even then there are strictl limits. 

Most customers in this industry are men and it is very hard for women partners to succeed.  The track record is terrible and women are given no help or accommodation for the challenges of being a woman in a male dominated industry.  None.   They bring in women and Fire them as a regular course.  The very senior women are the type that got there a while ago when it was a fad to have women in senior roles  and they are competitive and vicious and are some of the least supportive of other women.  They tend to surround themselves with the boys club to have someone to do the work.  

I could go on and on but I think you get the picture   If you are willing to risk your career and are ok with being fired or reduced to nothing in a culture that devalues humans"
631599,Oracle,2017-11-17, Anonymous Employee,Former Employee,,5,4.0,4.0,,4.0,4.0,3.0,o,o,o,Good hectic env,Works like a startup.. Very result oriented..,Depends on the group you are in
714089,Ryan-LLC,2020-04-22, Senior Manager,"Current Employee, more than 8 years","San Diego, CA",5,5.0,5.0,,5.0,5.0,5.0,v,v,v,Excellent Workplace,"Flexible schedule, goal oriented, team collaboration, Accommodating",Hiring process is a bit slow
821833,WLT-Group,2018-09-06, Graphic Designer,"Current Employee, more than 5 years","Dothan, AL",4,4.0,3.0,,4.0,4.0,3.0,v,v,v,Graphic designer,Great work life balance in chennai,9 hrs shift timings is not comfortable
271538,Gi-Group,2019-06-09, F&L,"Current Employee, more than 3 years","London, England, England",5,4.0,5.0,,5.0,4.0,5.0,v,v,v,Amazing company and headed up by the best CEO and MD you could ask for.,"Supportive managers, great development opportunities",none that I can think of
809023,University-of-York,2019-10-30, CSA,Former Employee,,5,,,,,,,o,o,o,Library Night Shift,Working overnight was a big plus,Can’t think of any to mention
596912,Morgan-Stanley,2019-11-30, Associate,"Current Employee, more than 1 year",Budapest,4,2.0,3.0,,3.0,3.0,2.0,v,r,r,Model Risk Reviewer,See a lot of interesting mathematical models in Model Risk Management department.,Absolutely bad management in London. Work-life balance issues regularly.
274445,GlaxoSmithKline,2018-02-12, Sales Controller,"Current Employee, more than 8 years","London, England, England",4,4.0,4.0,,4.0,4.0,4.0,v,r,r,Controller,"Good core values and over arching mission. Strong Brands. Intelligent people with drive, good culture and opportunity for you to develop and grow. Opportunity for more consumer acquisition",Consumer Healthcare in the UK is currently in a tough place due to the slow down in market and lack of true innovation coming through. Some iconic brands but no new news really. Tail brands need to be sold
818175,Vodafone,2020-10-05, Assistant Manager,Current Employee,,5,,,,,,,o,o,o,Manager,Good company to learn latest technologies,Nothing So Called cons innhere
7155,Abcam,2016-02-27, Anonymous,"Current Employee, more than 1 year","Cambridge, East of England, England, England",2,1.0,2.0,,2.0,1.0,2.0,x,o,r,Not a place to start a career,People are usually open and approachable in the building you work at. You will succeed if you keep your head down and do as you are told for 5 years at the same level. The current location in the Cambridge Science Park is very beautiful and relaxing place to have a break during lunch.,They will pay you as little as they can. You will not get any bonuses or tangible incentives apart from the standard benefits for which you will have to pay yourself. You will lose your free shares if you leave before the 3-year waiting period ends. There is no compensation for overtime. They will hire someone else rather than promote you. Your workload will exceed your expectations.
762341,Tesco,2020-05-02, Checkout Cashier,Former Employee,,4,,,,5.0,,,o,o,o,Good,"Good job good pay, treated well by management",Hours variable some antisocial hour see
446944,KPMG,2011-12-15, Manager,Current Employee,"Washington, DC",4,4.0,,,4.0,4.0,4.0,v,o,o,Good,"If you are a manager, there are opportunities for promotion to senior manager if you meet the established goals and have the necessary revenue.",A downside to work at KPMG is if you are a senior associate in federal it maybe difficult to get promoted to manager. One year no one was promoted and the following two years only one per year was promoted to manager. Of course this is based on if revenue is avail on current project or another within your work sector.
822581,Waitrose,2016-05-16, Anonymous Employee,Current Employee,,4,,,,,,,o,o,o,Student Part Time Job,"Very flexible with regards to helping out when I need time off for University issues. Relaxed environment, enjoyable place to work","Some slack practices, such as when taking on overtime, it's just written on paper, so a member of management has to physically enter this onto the timecard. Can result in being underpaid, very rarely happens"
363721,IBM,2016-09-28, Research Scientist,"Current Employee, more than 1 year","Dublin, Dublin",4,3.0,5.0,,3.0,3.0,5.0,v,o,v,Very good as a research lab,"Challenge with many real-world problems so we may learn  a lot from work.
Very good people who we can learn from.
Very ambitious research projects with interesting outcome.","Too complicated as a company with many layers, need to be simplified.
Salary is less competitive."
166639,DHL-Supply-Chain,2020-05-14, Operations Supervisor,"Former Employee, more than 1 year","Columbus, OH",1,1.0,1.0,,2.0,3.0,1.0,x,o,x,Stay away from DHL Supply Chain,"Can learn a lot from management on how not to run a warehouse
Lots of open positions due to very high turnover
If you're an emotionless robot who never makes mistakes, this is the job for you","Management has no respect for hourly or salaried positions
All about numbers and not people
Upper management runs facility through fear tactics and regularly fires hourly and salaried positions
Supervisors and managers are trained to use people, not teach them. Very few are able to do the work they demand from their subordinates
No loyalty to faithful, hardworking employees
Even the best employees only last a year or two in the facility before they are fired, almost no one has been here for 5 or more years
Awful work life balance for salaried positions"
489387,Marks-and-Spencer,2020-09-19, Store Assistant,Current Employee,"Wolverhampton, England, England",5,,,,,,,o,o,o,Great company,Family flexible and very understanding,Christmas and the long hours during this time
745618,Serco-Group,2019-02-10, Anonymous Employee,Current Employee,,3,3.0,5.0,,3.0,3.0,3.0,v,v,v,Serco,The company culture and values chime.  The people are friendly and absolutely focused on delivery value to the customer,Communication across and up and down the company are poor.
665692,Primark,2019-06-03, Sales Assistant,Current Employee,,4,4.0,3.0,,3.0,3.0,3.0,o,o,o,Good plaxe,Good place to work in Primark,"Minimum wage
Long hours  at work"
370485,IBM,2017-08-22, SAP Developer,"Current Employee, more than 8 years","Houston, TX",4,4.0,5.0,,5.0,3.0,4.0,v,r,v,SAP Developer,Very good company to work,"Less salary so need, this is something to think"
17410,American-Express,2016-09-21, Financial Analyst,"Former Employee, more than 1 year","Gurgaon, Haryana, Haryana",4,4.0,4.0,,4.0,4.0,4.0,o,o,o,Excellent organisation,One of the best employee friendly company I worked for. Every employee is considered to an individual with own skillets and needs,Amex being an old organisation has built some beuracracy in the system. This is now going away I hear from friends and peers
721363,SAP,2018-08-28, Compliance Specialist,"Current Employee, more than 10 years",Buenos Aires,5,5.0,4.0,,5.0,2.0,3.0,v,v,v,Very exciting company,"Team work
Life balance
Energy Sinergy
Collaboration
Work culture","Many processes
Decision making delays
Low benefits
Culture
Working during weekends"
301055,Google,2021-04-12, Software Development Engineer In Test (SDET),Current Employee,Bangalore,5,,,,,,,o,o,o,Ja,Good environment all employees are hardworking,"All good 
No bad things"
229759,Dixons-Carphone,2020-11-14, Assistant Manager,"Former Employee, more than 8 years",,1,1.0,1.0,1.0,1.0,1.0,1.0,x,x,x,Worst company,No such thing as a pro in this company,Everything is a con about this company
394733,IBM,2021-01-18, Software Engineer,"Former Employee, more than 3 years",Pune,4,,,,,,,v,r,v,Good one to start career with IBM GBS!,"Work life balance
Food
and much more",Less pay compared to market.
23378,Amey,2021-02-01, Project Manager,"Former Employee, more than 5 years",Sydney,4,5.0,4.0,4.0,5.0,4.0,4.0,v,r,r,Great company with lots of opportunities,"International opportunities, good support and career progress, amazing people.",Sometimes the bureaucracy can cause things to move slowly
523245,McDonald-s,2018-05-22, Anonymous Employee,Current Employee,,4,5.0,4.0,,5.0,4.0,3.0,v,r,r,Grille Overnighter,"Flexible Hours, Generally good mangers, Easy work","Understaffed, stressful, High turnover, Sometimes lack of communication,"
37043,Apple,2017-03-04, Manager,"Former Employee, more than 8 years",Melbourne,4,3.0,5.0,,4.0,4.0,4.0,v,v,v,Manager at Apple Store,"-Great discounts on everything to do with apple
-Friendly and great support teams
-Life long friends are made","-Can be fairly long hours compared to other work places
-Dealing with some very rude and ignorant people (Not many but a few noticeable)"
227400,Dixons-Carphone,2013-04-30, Customer Consultant,"Current Employee, more than 1 year",,2,3.0,2.0,,1.0,2.0,1.0,x,r,x,Typical Retail Experience,Some customers are a genuine pleasure to serve. Having access to devices prior to launch is exciting (if you like techy stuff). Colleagues are great people.,Management does not value staff. Consultants are viewed as merely pawns/minions. No upward mobility. Low pay and little reward for high and unrealistic expectations.
479087,LinkedIn,2014-03-23, Senior QA Engineer,"Current Employee, more than 3 years","Mountain View, CA",1,,,,,,,o,o,o,Not a good company for a QA Engineer,"Good benefits and perks.
Lot of free food.
There are good entertainments but you cannot participate due to the work load.","Base salary is low.
When I joined this company two years back it has the good Developer and QA ratio. Now the developers has tripled and never hired any QA in my team.
There is no scope for learning new technologies.
Work-life balance is very bad due to daily regressions and frequent Production releases."
127214,CBRE,2021-01-06, Client Services Coordinator,"Current Employee, more than 3 years","Beverly Hills, CA",4,5.0,4.0,4.0,5.0,2.0,3.0,x,r,v,Review for Client Services Coordinator,"great opportunities to advance and learn new skills. Working to learn, not working to earn.",Poor compensation and training. So much work and expectations for so little pay.
366323,IBM,2017-02-10, Integration Consultant,"Current Employee, more than 3 years","San Jose, CA",5,5.0,,,5.0,4.0,,v,v,v,Workday Integration Consultant,Excellent company to Work with,"None, A good company to work with"
493868,Marriott-International,2016-08-01, ,Former Employee,,3,4.0,3.0,,3.0,4.0,2.0,o,o,o,Associate,There are guidelines in place that protects the rights of all employees. Make sure to read the Marriott LSOP's because it will give you prospective on what's expected -behavior wise- at work.,"Managers don't care about growth, they were all stuck in a rat race which made them not such a positive bunch to work with. They also unfortunaly favored males employees over other employees, and somehow the rules doesn't apply to them."
200797,Deloitte,2020-02-24, Business Technology Analyst,Former Employee,,5,5.0,5.0,,5.0,5.0,5.0,o,o,o,ERP solutions and Product Support,"Smart people, high quality work.",Quality of work is project-dependent.
585881,Microsoft,2020-12-29, Senior Software Engineer,Current Employee,Bangalore,5,,,,,,,o,o,o,Great Company,"Excellent Work, Great teammates, No politics",None major except for maybe slightly lower pay
218621,Department-for-Work-And-Pensions,2019-06-28, Dwp Work Coach,"Former Employee, less than 1 year","Maidenhead, England, England",2,5.0,3.0,,1.0,4.0,3.0,o,o,o,Not enough pay for so much work,"-Employee Assistance Programme
-Flexi time (meaning you build up hours where you can leave work early or come in late)
-Chance to voice your opinions and challenge up
-Line management is usually excellent","-Especially with Universal Credit, I believe the workload is huge and appointments are very stretched for time.
-Low pay, can be stressful and challenging
-Not much in the way of advancing your career
-They say they support diversity and inclusion - not the case"
826902,Whitbread,2021-04-06, Duty Manager,"Current Employee, more than 5 years","Edinburgh, Scotland, Scotland",5,4.0,5.0,4.0,5.0,4.0,4.0,v,v,r,Duty Manager,"Shift patters are good, hourly rate of pay is decent, work/life balance can be good depending on your rota’d start/finish time","Occasionally long hours, rotas not being done well in advance, management can have favourites, short staffed can be a nightmare, cover from other sites are hard to come by"
737044,Salesforce,2018-05-19, Anonymous Employee,Current Employee,,3,2.0,5.0,,3.0,3.0,1.0,v,v,v,AE,"Good culture
Great people to work with
Good for your resume
Good Benefits","Low pay compared to other software companies
Territories are very small and managers give best ones to the people they like
Need to be in the office everyday
Feels like a cult at times"
600175,Morrisons,2017-03-05, Store General Manager,"Former Employee, more than 10 years","Birmingham, England, England",5,3.0,3.0,,4.0,4.0,4.0,v,v,v,"Well organised fast paced company with new board leadership, best managers in the business.","Rewarding, customer focused , training excellent. If you put in the hard work and you are well planned then this company is for you","Fast pace, extremely challenging. Completely new management board that are still finding there feet. Long hours on occasion and can be high pressure"
680711,PwC,2017-05-17, ,Former Employee,,2,1.0,1.0,,2.0,2.0,1.0,o,o,o,Associate,Good training and development office,"Autocratic boss/seniors, Extreme micromanagement, Insecure peers/seniors"
104137,Blue-Yonder,2014-02-25, Solution Architect,"Current Employee, more than 5 years",Bangalore,4,4.0,4.0,,4.0,3.0,2.0,v,v,r,Excellent place to work in supply chain,"Good learning experience, best of the breed products, very intelligent and smart employees, very little politics, flexible working hours, good onsite opportunities","Salary is not competitive, promotions are very selective and not meritocracy based. Travel policy is not employee friendly, top heavy organisation."
40242,Apple,2018-08-31, Genius,"Current Employee, more than 1 year","Oklahoma City, OK",5,3.0,5.0,,5.0,5.0,5.0,v,v,o,Review,"It is an awesome company , they take great care of you.  Leaders are exceptional and really care about you and your career. It also isn't hard to move up if you really try.",Sometimes customer experiences can get a little crazy but everyone makes sure to support you.
43005,Apple,2019-12-17, Project Manager,"Former Employee, more than 3 years","Cupertino, CA",2,1.0,2.0,,3.0,2.0,3.0,x,r,r,Gender discrimination/ benefit untruths,"Salary, people, technology, discounts, cache","Women are sometimes treated in an appalling manner, are very underrepresented in management. My experience with their self funded long term disability plan through Cigna borders on criminal. This is one benefit you might get for a year, then they kick you off, let you file a lawsuit, then settle for pennies on the dollar. My attorney has dealt with more than a few unhappy disabled people who worked at Apple."
343584,IBM,2010-06-24, ,Current Employee,,2,2.0,,,1.0,3.0,3.0,x,x,o,big blew,"most paid vacations
decent benefits
telecommunting
big company on resume
401k retirement plan
laptop workstation
personal discounts with other companies","offshoring
out of pocket work expenses
expected overtime overage"
223136,Deutsche-Bank,2019-03-18, Anonymous Employee,Former Employee,,5,4.0,5.0,,5.0,5.0,4.0,v,x,r,Recommend,"international branches, holistic training system, above average package and benefits, group medical insurance, annual free physical",foreign banks being the underdogs in china's financial system limits your exposure to services that arent under foreign bank's business scope
350271,IBM,2013-12-11, Anonymous Employee,Current Employee,,5,5.0,5.0,,4.0,5.0,4.0,o,o,o,IBM,"Good Environment ,career growth is really good.",No cons management and team everything is fabulous
763487,Tesco,2020-09-29, Stock Controller,"Current Employee, more than 3 years","Liverpool, England, England",4,5.0,5.0,,4.0,3.0,4.0,v,v,v,Amazing flexibility,"Meet great people working there, & very flexible with their shifts and hours.","Depending on the store you work, you might jot have the most understanding managers."
326602,Hays,2020-09-17, Manager,"Current Employee, more than 8 years","Basingstoke, England, England",5,4.0,5.0,,5.0,4.0,5.0,v,v,v,Long Term Career Opportunities,"You'll be part of a highly successful organisation and well respected name to back you to win new business. 
Having worked at another agency before Hays, I can confidently say that the training and support you will recieve here is first class and like no other in the industry. 
This can be a job for life if you work hard to achieve your targets and there are always plenty of new opportunities for you to follow if you want to learn something new, or take your career in a different direction. 
Overall, the people you will work with are awesome and one of the main reasons I have stayed with Hays for the last 8 years. You'll be surounded by experienced consultants and directors who will encourage you.
Now more than ever I am so grateful to work for an organisation like Hays, the support we have had through COVID-19 lockdown, moving to 100% remote working and more recently a hyrid approach, has been really impressive.","Previously the recruitment industry has had a reputation for long hours and not offering a very flexible working environment/ work life balance. I've been really impressed with how Hays has supported their employees and implemented a more flexible return to work/ hybrid working policy. All of my team and office have responded well to the more flexible approach to working and I hope it's here to stay.
The job can involved long hours (but that is the case in most recruitment jobs), high pressure and targets driven
You'll need to be able to movitate yourself to hit your targets and be consistent with the effort you put in to progress. It can be a hard job at times but most of the time very rewarding."
671275,PwC,2012-11-18, Consultant,"Current Employee, more than 1 year","New York, NY",3,4.0,3.0,,4.0,3.0,4.0,v,o,x,good people. but lots of bureaucracy,"- international
- good people to work with
- approachable parners","- lots of bureaucracy when getting promoted, work on biz dev
- somewhat tedious work
- bonuses once a year"
228609,Dixons-Carphone,2018-06-12, Sales Assistant,"Former Employee, more than 3 years","Workington, England, England",3,3.0,2.0,,3.0,3.0,2.0,x,r,r,Workington store,"Get a lot of hours
Wage is decent
most of the staff are nice",A Certain member off the management team  is new to the roll she needs to learn her job roll and stop abusing her power
585448,Microsoft,2020-11-23, Incident Manager,Current Employee,"Dallas, TX",5,2.0,5.0,5.0,5.0,5.0,5.0,v,v,r,A Culture to fight for,"Management listens
A culture of growth minds
Networking at its' best",New Employees don't have the most help getting started depending on the team
192875,Deloitte,2018-08-20, Audit Senior Manager,"Current Employee, more than 8 years","Madison, WI",5,3.0,4.0,,5.0,4.0,4.0,x,v,v,Deloitte,"Flexibility, Generous PTO and holidays, career development and growth, opportunity for quick promotion","Lack of flexibility at times, travel for clients, responding timely to client needs"
347727,IBM,2012-11-01, Managing Consultant,"Current Employee, more than 5 years","Houston, TX",4,2.0,4.0,,3.0,3.0,3.0,v,v,r,"Complex projects, intelligent collegaues, difficult work life balance","Great place to gain tremenedous experience via complex projects while challlenging yourself by developing innovative solutions. Top notch collegues, good people to work with.",Work/life balance not great. Annual pay raises and bonuses doesn't even keep up with inflation. Training opprtunites not widely avaialble.
523776,McDonald-s,2018-07-01, ,Former Employee,,1,2.0,1.0,,2.0,2.0,1.0,x,r,r,Pretty Awful,"Payday is fortnightly, so you'll always have some money.","Management was awful, pretty understaffed and working conditions were grim.  People would come in for the first day and find it so awful that the wouldn't come back the next day.
And although you got free lunches, the pay was pretty awful."
523481,McDonald-s,2018-06-08, Anonymous Employee,"Current Employee, more than 3 years","Los Angeles, CA",5,5.0,4.0,,4.0,4.0,5.0,v,r,v,Floor supervisor,"Flexible schedule , paid vacations, average wage","Pressure, stressful , fast pace is a must.."
499931,Marriott-International,2021-01-20, Social Media Specialist,Current Employee,"Omaha, NE",5,,,,,,,o,o,o,great company,work as much or as little as you want. great benefits.,none to say on here
412234,J-P-Morgan,2014-08-13, ,Current Employee,,4,2.0,3.0,,3.0,3.0,3.0,v,v,x,"salary and benefit Ok but not great, firm is bureaucratic","stable job, encourage move from one dept to another,",hours too long; move is not easy even if encouraged
318630,HSBC-Holdings,2020-06-07, Intern,Former Employee,Hong Kong,3,,,,,,,o,o,o,average,i think it is good,This company like to fire people
367162,IBM,2017-03-22, Anonymous Employee,"Current Employee, less than 1 year",,4,3.0,4.0,,5.0,4.0,3.0,o,o,o,Marketing manager,Lots of different types of opportunities so you never get tired of doing the same old job.,"Large, centrally controlled organization so if matrixed organizations are not your ideal, this may not be a good fit."
734236,Salesforce,2014-04-12, Member Of Technical Staff,"Current Employee, more than 3 years","Tampa, FL",5,5.0,5.0,,5.0,5.0,5.0,v,v,v,"Member of Technical staff, Software Engineering","Excellent place to work with, with good competitive and knowledgeable people around you. You always feel like you are at the right place",Nothing much at this time
814088,Vodafone,2017-02-09, ,Current Employee,"Newbury, England, England",4,3.0,2.0,,3.0,3.0,2.0,v,r,r,Review Title,"Good, well known brand. Lots of potential for opportunities. Not too corporate. Pleasant work environment and colleges in general",You are a small cog in a big machine. Lots of duplication across the business. Too much bureaucracy and not very agile
783699,Thomson-Reuters,2021-02-04, Business Analyst,"Former Employee, more than 5 years","Toronto, ON",5,5.0,5.0,5.0,5.0,5.0,5.0,v,o,v,All about people,"Person, team work, business process, systems","no downsides, all has a vision"
405635,Indeed,2020-04-23, Anonymous Employee,"Former Employee, more than 3 years","New York, NY",3,5.0,3.0,,3.0,2.0,2.0,x,r,x,Fine if you want a work life balance and nothing more,"Unlimited PTO, in office gym, catered breakfast daily, catered lunch 1X a w eek, kitchen full of snacks","Incompetent management, promotions seem to be based on who sucks up the most and not skill level, if you were hired in the early stages of the company your salary is going to be far less than new hires in lower positions who are far less qualified than you, management acts entitled."
803846,University-of-Michigan,2017-11-25, Anonymous Employee,Former Employee,,2,,,,,,,x,o,o,Management,Exposure to patients is great,"Just a number, not flexible with scheduling"
356173,IBM,2015-07-15, Tech Support,Current Employee,Bangalore,4,3.0,4.0,,4.0,3.0,4.0,v,v,v,Ibm review after 1 year,"Good company, like minded people, plenty of opportunities","Not a lot of salary, some not so great mangers"
409296,J-P-Morgan,2011-03-14, ,Former Employee,,2,3.0,,,2.0,2.0,2.0,x,r,o,,Good work and life balance and have 4 weeks of vacations,dont feel repected or appreciated about what people do.
673470,PwC,2014-10-24, ,Former Employee,,2,4.0,3.0,,4.0,4.0,3.0,o,o,o,Great place to start a career,"Training, travel, networking opportunities, resources,  brand names","Work life balance is non existent for most, arrogance amongst some staff"
314286,HSBC-Holdings,2017-08-21, Patient Experience LEad,"Former Employee, more than 10 years","Cardiff, Wales, Wales",4,5.0,4.0,,5.0,5.0,4.0,o,o,o,HSBC,Global company which (at the time I worked for them) had great staff and customer benefits. But I left in 2006 so things may have changed.,None I can think of
732266,Sainsbury-s,2020-09-22, Trading Assistant,"Current Employee, more than 5 years","London, England, England",3,2.0,3.0,,3.0,3.0,2.0,x,o,r,working at sainsburys,good pay and overtime always available,"they set unrealistic targets in finishing work. 
managers not helpful when it comes to transfer of stores. 
HR never picks up phone."
760883,Tesco,2019-08-11, Shift Leader,"Former Employee, more than 3 years",,4,3.0,2.0,,1.0,5.0,2.0,o,o,o,Nightmare at times,"Good rates of pay.
Plenty of holidays","Lack of staff, higher management dont listen to the CA,s"
549287,McDonald-s,2021-04-06, Teacher,Current Employee,"New York, NY",3,,,,,,,o,o,o,Ok,Ok chance to grow depending on skills learned,Hours are few have to compete
116023,Boston-Consulting-Group,2019-04-08, Anonymous Employee,Current Employee,,5,,,,,,,o,o,o,Great,Great learning experience and exposure. Opportunities for immense professional growth. The best people to work with.,Work life balance not great.
743035,Savills,2019-06-16, Associate Director,"Current Employee, more than 1 year","London, England, England",2,5.0,1.0,,4.0,5.0,2.0,x,r,v,A bit of a minefield. If you stay on the right side of certain people you'll do alright.,"The benefits are pretty good (pay, bonus etc.) 
Additional benefits such as car parking vary greatly depending on each office.","A very strange culture (old fashioned). 
You're expected to figure everything out on your own or just know the ""Savills way of doing it"".
If you get on the wrong side of the wrong person you'll be sacked without warning."
